,Run ID,MLflow Decision,Control CTR,Treatment CTR,Absolute Lift,Relative Lift,P-value,Control Latency (ms),Treatment Latency (ms),Users Control,Users Treatment,Adjusted Decision
0,006c1435f48c4dbc8802f90310fccbe1,DO NOT SHIP,0.07914979757085021,0.09387351778656126,0.014723720215711056,0.1860234728020783,0.004430377185396885,34.426518218623485,44.53557312252964,4940,5060,DO NOT SHIP
1,22efbfc276bb43dca5b8d82dc9d9376a,DO NOT SHIP,0.07914979757085021,0.09387351778656126,0.014723720215711056,0.1860234728020783,0.004430377185396885,34.426518218623485,44.53557312252964,4940,5060,DO NOT SHIP
2,2496dd249a714d3f805e044dadb6049b,DO NOT SHIP,0.07914979757085021,0.09387351778656126,0.014723720215711056,0.1860234728020783,0.004430377185396885,34.426518218623485,44.53557312252964,4940,5060,DO NOT SHIP
3,53c00ec79b584ca388aae6bd9f16bd0a,DO NOT SHIP,0.07914979757085021,0.09387351778656126,0.014723720215711056,0.1860234728020783,8.25993655548362e-8,34.426518218623485,44.53557312252964,19760,20240,DO NOT SHIP
4,90a493923ffa416793f012f3900a1b0e,DO NOT SHIP,1.5038461538461538,1.783596837944664,0.2797506840985102,0.18602347280207843,,654.1038461538461,846.1758893280632,4940,5060,DO NOT SHIP
5,aa6e5a63ce644c8f8996083ede434387,DO NOT SHIP,0.18468286099865047,0.21903820816864294,0.03435534716999247,0.18602347280207834,6.359930680226589e-14,45.90202429149797,59.38076416337286,14820,15180,DO NOT SHIP
6,6e48846fb21b45209219541f23e2722d,,0.18468286099865047,0.21903820816864294,0.03435534716999247,0.18602347280207834,6.359930680226589e-14,45.90202429149797,59.38076416337286,0,0,PENDING (UNDERPOWERED)
7,7657f158d8914ec8b3ab58a04cef7d17,DO NOT SHIP,0.18468286099865047,0.21903820816864294,0.03435534716999247,0.18602347280207834,6.359930680226589e-14,45.90202429149797,59.38076416337286,0,0,PENDING (UNDERPOWERED)
8,1bede341ca924f5ebbde1dfc83ca0b25,DO NOT SHIP,0.18468286099865047,0.21903820816864294,0.03435534716999247,0.18602347280207834,6.359930680226589e-14,45.90202429149797,59.38076416337286,0,0,PENDING (UNDERPOWERED)
9,63773ec9004c4a45a1199d080b47011d,DO NOT SHIP,0.18468286099865047,0.21903820816864294,0.03435534716999247,0.18602347280207834,6.359930680226589e-14,45.90202429149797,59.38076416337286,0,0,PENDING (UNDERPOWERED)
10,e32cfd4d27a944ff88d669ead0fd7a1c,SHIP,0.1187246963562753,0.1408102766798419,0.022085580323566584,0.1860234728020783,0.0000017014689583580247,0,0,0,0,PENDING (UNDERPOWERED)
11,025443caa03a44a1bbbcb779a8408974,,0.1187246963562753,0.1408102766798419,0.022085580323566584,0.1860234728020783,0.0000017014689583580247,0,0,0,0,PENDING (UNDERPOWERED)
